PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,BP
38,52.67,0.1,23.65,12.65,15.55,1.85,0.37,26.66,0.2,0.4,21.17,86.33,1.67,78.33,710.33
34,58,0.7,26.5,14.7,16.9,None,0.46,29.05,0.2,0.4,22.1,86,1.6,76,711
48,67,1.2,37.8,21.1,17,1.9,0.4,26.75,0.2,0.4,26.9,86,2.2,75,712
46.33,66.33,0.83,37.33,20.5,16.7,5.47,0.38,26.28,0.23,0.47,26.9,78,1.87,92,712
43.75,66.5,0.85,38.1,20.98,16.22,6.12,0.39,24.63,0.22,0.47,26.87,74.5,1.75,93.5,712
46,71,0.75,37.45,20.5,15.75,4.2,0.36,27.48,0.2,0.4,26.55,70.5,2,78,712
38,60,1.17,30.4,17.07,13.47,2.3,0.42,26.74,0.2,0.43,20.37,69.33,1.93,90,712
30,58.5,0.95,24.4,13.75,12.45,2.15,0.32,27.36,0.2,0.5,20.4,66.5,2,104.5,710.5
26,54,0.75,22.75,12.7,11.7,1.9,0.26,28.62,0.25,0.55,19.5,61,2.15,113,710
27.75,43.25,0.88,22.12,12.5,11.88,3,0.28,25.66,0.2,0.5,20.45,66,2.02,100.25,709
28,45,0.5,27.1,14.9,15.3,2.5,0.35,44.08,0.2,0.5,27.1,71,1.8,97,709
28,45,0.73,26.97,14.9,15.13,7.9,0.34,43.61,0.2,0.5,27,70.33,1.77,102,709
29.75,47.75,0.9,26.82,14.95,15.45,8.55,0.41,42.51,0.2,0.47,26.92,75.5,1.87,92,709.75
36.67,53.67,0.77,26.17,14.53,15.33,4.75,0.46,47.3,0.2,0.47,25.53,78.67,2.07,87.67,710.33
34,49,0.6,21.6,12,13.9,2.9,0.49,48.84,0.2,0.4,20.3,81,1.8,80,711
35.5,48,0.65,24.3,13.45,13.05,2.95,0.56,49.07,0.2,0.4,20.75,86.5,1.6,81.5,712
35,48,0.45,26.9,14.7,12.8,3.1,0.58,35.47,0.2,0.35,21.75,87.5,1.65,73.5,712
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
35,44.5,0.93,26.12,14.65,14.7,2.78,0.54,42.27,0.2,0.47,26.92,89,1.38,86.75,711.5
26.33,34,0.93,26.93,15.07,14.77,4.2,0.39,43.58,0.2,0.37,27,88.33,1.47,79,711
27,34,0.9,26.1,14.7,14.7,4.4,0.38,22.62,0.2,0.4,27,89,1.3,82,711
23.5,32.5,0.75,24.7,13.75,14.55,3.85,0.39,22.03,0.2,0.4,26.1,90.5,1.35,78,710
25,37.5,0.53,19.95,11.05,13.72,3.27,0.4,20.8,0.2,0.4,21.43,89.75,1.38,77.25,710
37.33,51.33,0.8,20.55,11.55,13.2,4.85,0.38,19.87,0.2,0.37,21.93,89,1.73,75,710
38,46,0.2,24.9,13.4,13,4.65,0.39,23.68,0.2,0.35,21.25,90,1.65,70.5,710.5
33.75,43.75,0.55,25.62,14.1,14.12,5.6,0.42,20.8,0.2,0.4,22.15,89.75,1.67,74,711.25
34.75,51.75,0.8,32.15,17.75,15.7,5.45,0.53,21.29,0.2,0.4,26.77,89.75,2.08,80.25,712
37,48.5,1.4,35.55,20,14.35,4.2,0.46,21.53,0.2,0.4,27,87.5,2.25,77.5,713
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29.67,57,0.45,38.43,20.73,13.87,4.4,0.56,23.25,0.2,0.47,26.27,78.67,1.97,85.67,713
26,56.5,0.3,28.55,15.45,11.8,3.45,0.5,32.65,0.25,0.55,19.55,69,1.75,108.5,712
23,56,0.45,30.55,16.65,10.9,2.3,0.48,39.58,0.2,0.5,19.95,66.5,1.5,105,711.5
22,41,0.7,25.4,14,11.05,2.55,0.41,35.48,0.2,0.5,20.1,68,1.35,94,711
26,43,0.7,25.1,13.9,11,3.2,0.45,39.76,0.2,0.5,20.2,68,1.2,92,710
25,47.33,0.83,34.4,18.97,12.93,4.5,0.56,36.31,0.2,0.4,26.8,69.33,1.17,79.33,710
29.5,53,1.1,39,21.2,13.5,6.5,0.56,34.67,0.2,0.4,27,72,1.25,77,710
32,54,0.55,38.95,21.15,13.55,5.95,0.56,35.97,0.2,0.45,26.9,73.5,0.95,89.5,711
32,68,0.4,53.3,28.7,13.9,3.7,0.93,30.4,0.2,0.5,25.9,73,0.9,95,711
33.25,69.5,0.42,38.45,20.77,12.45,3.12,0.84,37.59,0.2,0.45,21.25,73.75,1.02,85.5,712
37,74,0.5,31.63,17.23,12.3,2.1,0.68,37.15,0.2,0.4,21.17,77.67,1.03,81,712.67
38.33,63.67,0.7,34.97,19.17,12.07,2.3,0.73,37.7,0.13,0.3,20.6,79.33,0.97,64.33,713
37.5,60.5,0.5,37.7,20.45,12.5,2.1,0.74,30.61,0.2,0.4,22.6,81.5,1.3,78,713
35,52.33,0.37,34.83,18.83,13.87,2.57,0.52,33.76,0.2,0.4,26.93,85,1.3,81.33,712
29,46,0.77,30.87,17.07,13.9,4.85,0.45,24.06,0.2,0.4,27.17,87.33,1.33,80.67,712
28.75,47.25,0.98,28.6,15.97,14.1,5.52,0.41,25.29,0.17,0.35,27.25,88.75,1.25,73.5,711
