PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,BP
None,None,1.9,24.4,14.25,16.93,5.77,0.54,49.19,0.1,0.9,18.98,78.5,1.23,212.75,711.25
None,None,1.73,17.38,10.42,21.48,5.83,0.45,41.15,0.1,0.73,18.98,81.25,1.07,212.25,712
78,102,1.7,13.55,8.4,23.92,5.8,0.55,34.95,0.1,0.9,19.03,80.25,1.38,216.25,712.75
75.75,103,1.6,16.62,9.97,21.82,5.72,0.79,34.5,0.2,1.33,18.73,76.5,1.78,188.75,713
71,117.25,1.67,18.35,10.97,20.98,5.7,0.86,40.8,0.2,1.4,18.9,70,1.57,225.25,713
72.25,143,1.45,23.28,13.47,18.2,5.6,0.5,36.1,0.1,0.83,18.23,62.5,1.65,197.75,713
60,121.75,1.52,29.33,16.75,15.07,5.57,0.61,37.87,0.13,1,18.1,53.75,1.52,219.25,713
60.5,123.25,1.6,33.47,18.98,12.35,5.58,0.31,38.24,0.1,0.5,17.5,46,1.5,177.75,712
45.75,105.5,1.6,36.17,20.38,10.35,5.73,0.53,37.67,0.1,0.87,17.18,41.5,1.5,203.75,711.25
50,113,1.7,37.5,21.12,9.25,5.55,0.48,46.89,0.1,0.8,17.57,39.25,1.3,117,710.25
49.5,118.5,1.68,36.75,20.73,9.15,5.7,0.34,58.73,0.1,0.53,16.95,38.5,1.35,146,710
58,141.25,1.72,35.65,20.15,10.98,5.67,0.65,54.09,0.1,1.07,17.52,42.5,1.93,183.25,710
62.5,161.75,1.77,31.9,18.2,15.53,5.8,0.52,49.87,0.1,0.87,22.57,66.5,1.53,186,710.75
68.75,155.5,2.28,11.7,7.63,36.62,5.9,1.78,54.67,0.37,2.97,26.72,73,1.23,246,711
76.5,121,1.5,10.7,6.73,34.75,6.1,1.68,57.29,0.35,2.75,18.95,67.25,0.9,184.75,711.25
86,125.5,1.8,18.55,11.12,25,5.8,1.08,36.99,0.23,1.77,18.3,61,1.05,199.75,712
92.5,149,2.07,4.58,3.8,34.25,6.03,1.37,26,0.3,2.23,18.32,62.5,0.7,154,713
93.25,166.75,1.4,12.73,7.83,27.7,5.8,1.05,25.52,0.23,1.77,18.6,61,1,220,713
88,125,1.68,16.08,9.7,24.7,5.33,0.85,29.89,0.2,1.4,18.6,65.5,1.05,217.25,713
75,104.5,1.67,26.5,15.28,16.78,5.3,0.41,26.62,0.1,0.67,18.68,66.75,1.17,209.25,713
64,86,1.88,32.02,18.3,12.43,5.3,0.37,25.7,0.1,0.6,19.05,70.25,1.08,203,712
67,79.25,1.8,30.33,17.4,13.05,5.97,0.35,27.39,0.1,0.53,18.9,73.5,0.9,192.75,712
72.25,82,1.7,29.25,16.75,13.6,6.03,0.35,23.44,0.1,0.6,19.2,76.5,0.95,208,712
86,95.5,1.8,29.67,17.05,13.5,5.93,0.5,27.12,0.1,0.8,19.07,77.75,0.9,202.5,712
71.75,88,1.75,23.25,13.6,17.92,5.9,0.41,27.39,0.1,0.7,19.05,78.25,1.15,208.25,712
56.25,86,1.9,18.98,11.4,20.75,5.58,0.5,28.07,0.1,0.83,19.4,78.75,0.93,215,713
78,103.33,1.5,17.37,10.33,21.57,5.6,0.38,27.27,0.1,0.6,18.83,76.67,1.23,189.67,713.67
65.5,94.75,1.42,28.95,16.5,13.98,5.5,0.29,25.53,0.1,0.47,18.4,71.75,1.25,186.25,714
57.75,87.5,1.65,30.3,17.3,13.07,5.43,0.5,28.57,0.1,0.8,18.95,62.75,1.4,195.25,714
41.25,91.25,1.75,28.7,16.48,14.15,5.17,0.48,28.16,0.1,0.8,18.68,60,1.57,191.25,714
49.75,124,1.73,29.35,16.8,14.12,5.23,0.52,26.49,0.1,0.83,18.43,54.25,1.6,197.25,714
55.25,94.75,1.68,33,18.73,12.23,5.55,0.37,28.83,0.1,0.63,17.45,47.25,1.3,188.5,713.25
52.25,96.25,1.6,36.38,20.5,10.22,5.7,0.48,28.28,0.1,0.8,17.23,43,1.27,178,712.25
40.5,98.25,1.7,35.78,20.25,10.82,5.8,0.64,28.8,0.13,1.07,17.02,40,1.15,168.25,711.5
39.75,109,1.8,37.08,20.95,8.97,5.83,0.32,29.05,0.1,0.5,17.93,35.5,1.23,95.5,711
40.5,100.75,1.87,36.92,20.93,8.75,5.88,0.26,28.96,0.07,0.43,16.8,33,1.1,120.75,711
38.5,96,1.75,37.38,21.08,8.07,5.83,0.22,28.46,0.03,0.33,16.8,31.5,1.03,92.75,711
48.25,107.5,1.75,36.88,20.83,8.68,5.95,0.54,26.66,0.1,0.9,17.6,35,0.55,82.25,711
60.5,145.75,2.25,24.53,14.47,18.12,6.13,1.05,25.78,0.23,1.73,18.15,39,0.53,52,712
76.25,219.5,2.6,None,None,52.48,5.92,1.68,29.13,0.37,2.77,18.18,41.5,0.72,105.75,712.25
77,236.5,1.3,6.85,3.27,35.9,5.67,1.04,26.23,0.2,1.7,18.25,44,0.72,124.5,713
82.5,189.5,1.25,25.12,14.38,17.73,5.55,0.59,26.8,0.13,0.97,18.6,48.5,0.95,107.25,713
70.75,159.25,1.7,30.07,17.17,13.85,5.57,0.72,28.67,0.17,1.2,18.43,49.75,1.05,153.5,713
67.25,227.5,1.7,31.82,18.15,12.7,5.82,0.42,26.21,0.1,0.67,18.62,53.5,1.25,183,713
68,124,1.85,34.3,19.5,10.3,5.73,0.63,27.04,0.1,1.07,18.85,67.75,0.88,189.5,712
64,79,1.78,30.47,17.43,12.18,5.6,0.39,26.13,0.1,0.63,18.55,72,0.82,215,712
64,79,1.65,30.38,17.33,12.18,5.5,0.34,26.11,0.1,0.57,19,74.75,1.1,177.75,712
66,80,1.65,34.02,19.25,9.55,5.67,0.27,29.7,0.1,0.47,19.12,76.75,1.4,178.25,712
63.75,79.25,1.92,29.15,16.8,12.9,5.73,0.33,27.02,0.1,0.53,19.25,78,1.05,184.25,712
57,77,1.75,22.43,13.15,17.57,5.7,0.58,26.25,0.1,0.93,19.47,79.75,0.88,206,712.75
57,80,1.73,20.05,11.85,19.23,5.7,0.46,26.38,0.1,0.77,19.1,78.25,0.9,183.5,713
61.5,80.75,1.58,25.3,14.57,15.75,5.62,0.5,25.33,0.1,0.8,18.88,74,1.52,173.75,713.75
69.25,83.75,1.73,30.85,17.6,12.35,5.67,0.27,30.3,0.07,0.43,19.5,64.5,1.05,165,714
49,89.25,1.63,35.75,20.17,9.75,5.53,0.3,29.34,0.1,0.5,17.93,56.75,1.23,184.75,714
44,98.5,1.67,36.02,20.35,9.6,5.53,0.25,28.06,0.07,0.43,18.35,49,1.23,179.75,713.25
49.5,98,1.62,35.73,20.18,10.15,5.73,0.28,27.9,0.1,0.47,17.88,41,1.4,127,712.5
30.75,97,1.73,37.62,21.25,7.67,5.87,0.13,28.73,0,0.23,16.85,34.75,1.62,121.25,711.5
32,87.25,1.65,37.65,21.2,7.58,5.93,0.32,29.2,0.1,0.53,17.3,31.5,1.8,93.75,711
31.5,91.75,1.7,37.6,21.18,7.4,5.87,0.29,28.56,0.1,0.47,16.8,27.75,1.8,91,710
39,84.5,1.75,37.45,21.12,7.5,5.78,0.28,29.04,0.1,0.43,16.5,28.75,1.57,100.25,710
38,86.5,1.68,37.15,20.95,8.22,5.87,0.47,28.4,0.1,0.77,16.93,31,1.5,82.5,710
39.25,97,1.7,36.62,20.67,8.5,5.9,0.42,27.94,0.1,0.67,17.5,39,1.18,101,711
52.75,101,1.75,35.62,20.15,8.93,6.1,0.53,28.38,0.1,0.9,17.85,41.75,0.9,102.25,711.25
51,115,1.75,32.23,18.35,11.7,5.7,0.58,27.97,0.1,0.97,18.12,43.25,0.93,85.25,712
39.25,114.75,1.68,32.65,18.55,11.05,5.67,0.42,26.48,0.1,0.7,18.52,44.5,0.97,86.75,712.75
39,92.75,1.6,32.82,18.6,10.7,5.67,0.46,29.36,0.1,0.73,18.5,47.5,0.97,90.5,713
38.25,79.5,1.6,32.25,18.3,10.95,5.7,0.24,27.04,0.07,0.37,18.57,51.5,0.8,82.75,713
45.75,68.25,1.62,31.2,17.75,11.78,5.65,0.55,27.82,0.1,0.9,18.85,55.5,0.8,100,712
47.75,69.25,1.65,30.25,17.23,12.5,5.7,0.15,27.78,0.03,0.23,18.53,58.25,0.75,103.5,712
52.25,81.25,1.7,29.75,17,12.97,5.82,0.42,26.23,0.1,0.7,18.85,59.75,1.03,96,712
68,88,1.75,33.07,18.8,10.88,5.93,0.29,26.92,0.1,0.47,18.7,67.75,0.9,69.25,712
None,None,1.77,32.65,18.55,11.25,6,0.3,27.32,0.1,0.47,19.12,74.75,0.82,113.75,712
None,None,1.77,30.42,17.42,12.57,6.03,0.12,27.94,0,0.2,18.95,77.75,1.3,121,712
None,None,1.73,30.73,17.58,12.55,6.07,0.42,25.53,0.1,0.7,19.52,80,1.12,101.25,712.75
None,None,1.75,34.03,19.32,10.35,6.05,0.23,29.24,0.03,0.37,19,78.5,1.15,107,713
77,106,1.73,33.95,19.25,10.4,6.28,0.39,24.03,0.1,0.63,18.75,71.75,1.35,121.25,713.75
76,108,1.75,33.58,19.05,10.83,6.4,0.41,28.55,0.1,0.67,18.95,64.75,1.35,110.25,714
69.25,118.75,1.72,34.2,19.38,11.1,6.43,0.51,28.62,0.1,0.83,18.38,52.25,1.25,160.5,714
54.5,129,1.67,34.88,19.7,10.98,6.33,0.53,48.04,0.1,0.9,17.9,44.25,1.55,170,713
42,114.5,1.65,36.65,20.68,9.6,6.3,0.25,49.77,0.07,0.43,17.12,34.75,1.67,137.25,712.5
37.25,109.5,1.6,37.88,21.3,7.8,6.2,0.11,46.94,0,0.17,17,29,1.85,96.5,712
41.25,117,1.68,37.22,21.02,8,6.05,0.31,48.34,0.1,0.53,17.43,28.5,1.73,98.5,711
40.5,113.5,1.8,37.12,20.98,7.98,5.93,0.2,49.05,0.03,0.33,17.3,29,1.83,95.75,711
36.75,104.75,1.8,36.88,20.82,8.35,5.95,0.26,44.66,0.07,0.47,17.15,31.5,1.75,102,711
37.75,109.5,1.65,36.92,20.82,7.92,5.93,0.33,48.03,0.1,0.57,16.9,34.25,1.65,114.25,711
36,109.25,1.63,36.42,20.52,8.43,5.88,0.41,46.15,0.1,0.67,17.57,36.25,1.35,110,712
43,118,1.73,35.88,20.27,9.03,5.95,0.62,46.61,0.13,1.03,17.95,38.25,1.23,104.5,712.5
43.5,129.25,1.68,35.2,19.9,9.65,5.97,0.46,46.71,0.1,0.77,18.05,40.5,1.35,103,713
35.75,112,1.65,35.38,19.98,9.28,5.9,0.3,46.96,0.1,0.5,18.15,45.5,1.55,97.5,714
39.25,94.75,1.62,35.38,20,9.28,5.85,0.4,45.47,0.1,0.67,18.5,51.25,1.32,86.75,714
52.75,97,1.73,35.08,19.85,9.62,5.8,0.35,43.06,0.1,0.57,18.5,55,1.25,86.75,714
58,97,1.77,35.2,19.95,9.62,6.15,0.44,22.99,0.1,0.7,18.65,58.75,1.38,97,714
67.75,93.75,1.68,35.33,19.97,9.68,6.33,0.48,25.88,0.1,0.77,18.7,69.25,1.32,94,714
70,84,1.7,34.62,19.6,9.32,5.77,0.25,22.96,0.07,0.43,18.88,78.25,1.38,103.25,713
None,None,1.75,33.2,18.88,9.6,5.53,0.06,26.25,0,0.07,19.1,80.25,1.05,122.5,713
None,None,1.65,31,17.65,11.03,5.85,0.18,24.13,0,0.27,19.35,80,1.2,112.25,713
None,None,1.82,29.97,17.18,12.3,6.23,0.32,25.39,0.1,0.53,19.38,79,1.22,116.75,713.5
85,89,1.8,26.25,15.23,15.2,6.33,0.1,23.68,0,0.17,19.47,79,1.25,140.5,714
79.25,88,1.87,25.73,14.92,16.17,6.4,0.46,27.9,0.1,0.77,19.67,77.75,1.47,145,715
62.5,86,1.7,26.1,15.07,15.8,6.23,0.56,24.37,0.13,0.93,18.77,73.5,1.62,165.75,715
58.5,91.75,1.6,24.57,14.25,16.7,6.3,0.69,39,0.17,1.13,18.93,63.5,1.4,182.5,715
41,102.5,1.52,27.17,15.6,15.33,6.32,0.61,37.05,0.13,0.97,18.67,51.5,1.35,158.25,715
38.5,111.75,1.6,34.38,19.45,10.8,6.33,0.19,35.8,0.03,0.3,18.02,42,1.48,161,715
38.5,114.25,1.68,36.38,20.52,9.3,6.4,0.47,39.95,0.1,0.77,17.77,33,1.43,129,714
31.5,103,1.75,37.95,21.4,7.45,6.47,0.16,38.89,0.03,0.23,18.1,29.25,1.97,115.5,713
24.75,95.5,1.72,38,21.4,7.2,6.43,0.13,39.28,0,0.2,17.12,29,1.95,91.75,712.5
27.5,99.75,1.75,37.3,21.07,7.7,6.3,0.32,38.76,0.1,0.5,16.75,27.75,1.75,86.5,712
28.75,103.5,1.73,36.7,20.75,8.15,6.35,0.3,38.09,0.1,0.5,17.73,26.5,1.68,94.75,712
32.25,120,1.73,36.35,20.52,8.7,6.27,0.23,36.7,0.03,0.37,17,28.25,1.45,90,712
41.5,124.75,1.8,31.55,18.05,13,6.08,0.68,38.18,0.13,1.13,17.43,27,1.23,86.5,712.25
34.5,113,1.57,26.03,14.95,16.43,5.93,0.53,38.61,0.1,0.9,17.77,26.75,1.2,93,713
44.25,114.5,1.55,33.02,18.68,10.5,6.05,0.76,36.05,0.2,1.27,18,40,1.68,111.75,714
42.5,103.25,1.7,35.12,19.88,9.2,6.23,0.35,41.08,0.1,0.6,18.32,46.5,1.58,105.75,714.25
44.25,87.5,1.68,35.15,19.88,9.4,6.43,0.19,37.95,0.03,0.33,18.27,50.5,1.27,97.75,715
52,104,1.73,35.05,19.82,9.95,6.6,0.36,35.27,0.1,0.6,18.6,53.5,1.08,102.5,715
71.75,110.25,1.65,35.12,19.82,10.12,7.02,0.4,33.49,0.1,0.7,18.55,54.75,1.23,115.75,714
72.25,105,1.68,35.6,20.12,10.05,7.63,0.07,25.51,0,0.15,18.68,57.5,1.02,95.5,714
87.5,114.75,1.73,34.88,19.73,10.53,7.53,0.41,28.42,0.1,0.67,18.88,61.5,0.8,74.5,714
91.5,125.5,1.85,28.08,16.2,15.93,7.4,0.4,26.73,0.1,0.65,22.27,66,0.57,130.25,713.5
83,146.75,1.85,16.85,10.2,27.3,7.57,0.34,28.19,0.07,0.57,29.28,69.5,0.65,100,714
82.5,126.75,1.68,25.17,14.57,18.62,7.53,0.27,30.63,0.05,0.45,19.07,72.75,1.02,149.5,714
68,111,1.75,21.48,12.65,19.65,6.97,0.38,25.98,0.07,0.6,18.93,73.75,0.82,184.5,714
83,128,1.65,18.3,10.9,21.18,7.1,0.74,29.43,0.17,1.23,19.02,68,0.95,195.25,714.75
74.25,120.5,1.7,24.05,13.98,17.52,7.12,0.57,31.73,0.1,0.93,19.15,62,1.55,190,715
47.25,111,1.75,25.65,14.85,17.07,6.6,0.44,39.21,0.1,0.73,18.65,54.25,1.4,206,715
42.75,120.5,1.48,32.48,18.35,12.75,6.53,0.55,39.83,0.1,0.9,18.2,43.5,1.27,156.25,715
37.5,124,1.73,37.35,21.05,10.52,6.43,0.7,38.22,0.17,1.17,18.82,38,1.3,163.25,714.75
40.5,149.75,1.67,37.2,20.98,11.45,6.22,0.48,38.65,0.1,0.8,18.55,28,1.75,93.25,714
34.75,124.25,1.68,37.55,21.15,8.4,5.83,0.21,38.89,0.03,0.33,16.98,23.75,1.9,95.25,713
29.5,110.25,1.68,37.25,21,7.67,5.83,0.19,38.53,0.03,0.33,16.22,20.25,1.65,94.75,712.25
26,107.25,1.62,36.75,20.67,9.15,6.03,0.2,38.62,0.07,0.33,21.6,22.5,1.95,78,712
31.75,124.75,1.62,36.05,20.32,9.77,6.22,0.32,39.9,0.1,0.5,18.15,26,1.75,79.25,711
39.75,129.5,1.8,35.92,20.32,10.6,6.1,0.32,37.71,0.1,0.53,15.97,28.5,1.62,82.25,711
39.75,129.5,1.77,35.47,20.1,10.62,5.75,0.4,37.9,0.1,0.67,17.25,28.5,1.25,89,711.75
44.5,136.25,1.78,36,20.38,9.38,5.53,0.48,38.92,0.1,0.8,17.62,30,1.35,98,712.75
49.25,137,1.75,36.1,20.43,8.93,5.97,0.55,37.29,0.1,0.9,17.73,42.75,1.35,102,713.75
40.5,113.5,1.65,35.6,20.1,9.1,6.17,0.21,37.19,0.03,0.33,17.98,47,1.25,100.75,714
37.5,92.25,1.77,35.82,20.25,8.57,5.72,None,35.15,None,None,18.12,52,1.25,99.75,715
37.25,78.25,1.8,36.2,20.5,8.2,5.77,0.53,34.48,0.1,0.87,18.32,55.25,1.05,103.75,715
52,89,1.7,33.98,19.25,10.28,6.4,0.56,37.57,0.1,0.93,18.35,57,0.93,151.5,714
56,117.5,1.5,33.58,18.98,10.57,6.5,0.26,39.25,0.1,0.43,18.3,57.25,0.95,132.75,714
51.25,111.25,1.68,34.08,19.3,10.18,6.03,0.31,35.85,0.07,0.53,18.25,58.5,0.9,157,713
60,100.5,1.65,33.65,19.07,10.7,6,0.26,33.99,0.1,0.4,18.7,62.25,0.95,99.25,713
80.25,88.5,1.72,32.73,18.62,11.23,6.42,0.44,38.92,0.1,0.7,18.73,69.75,0.82,111.25,713
90.5,107,1.7,30.35,17.35,13.12,6.67,0.5,35.15,0.1,0.8,18.67,70.25,0.65,151.75,713
76.75,128.75,1.83,23.35,13.68,18.1,6.38,0.84,36.49,0.2,1.4,19.15,72,0.53,190,713
82.5,149,1.73,15.18,9.3,24,6.3,0.51,37.44,0.1,0.83,18.55,70,1,182.5,713.75
71,143,1.8,24.75,14.4,17,5.95,0.61,36.54,0.1,1,18.15,64.5,1.07,179.5,714
58.25,124.25,1.62,31.18,17.77,12.93,5.8,0.7,37.06,0.17,1.13,18.82,55.75,1.03,189.75,714
54.75,131,1.68,34.78,19.7,11.95,6.05,0.74,35.72,0.2,1.2,18.1,44.75,1.25,185.25,714
47.25,154.5,1.65,36.6,20.65,11,6.13,0.59,38.98,0.1,0.97,18.18,32.5,1.65,98,713.75
36,144,1.6,36.8,20.73,10.9,6.63,0.34,38.26,0.1,0.57,18.83,29.67,1.8,99,713
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
34.5,134.5,1.7,36.1,20.4,10.05,6.5,0.52,37.84,0.1,0.9,16.9,27,1.55,85.5,711
39.75,144,1.75,34.7,19.65,11.6,6.53,0.59,46.22,0.1,0.97,17.25,28.25,1.22,79.25,711.25
51.5,148,1.75,34.35,19.47,11.47,6.63,0.46,48.35,0.1,0.8,17.6,34,1.38,89.75,712
50.75,130.5,1.7,35.62,20.12,9.98,6.03,0.48,41.41,0.1,0.77,17.77,43,1.38,90.75,713
46.75,119.25,1.65,35.9,20.27,9.65,5.97,0.2,27.64,0.03,0.33,18,50,1.25,90.25,713.5
56.5,107.5,1.75,35.58,20.15,10.05,6.65,0.55,27.79,0.1,0.9,18.2,52.25,1,81.5,714
63.25,106.25,1.7,35.47,20.07,10.05,6.9,0.45,27.24,0.1,0.73,18.4,54,0.93,82.75,713.25
70,105.25,1.75,35.75,20.25,9.6,6.88,0.35,29.32,0.1,0.57,18.55,55.75,1.1,87.75,713
70,100,1.8,35.6,20.15,9.45,6.65,0.24,31.54,0.05,0.4,18.4,59,1.25,96,712
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
40,101,1.8,35.5,20.1,10.2,5.9,None,32.77,None,None,19,48,1.3,165,714
39.75,105.25,1.6,36.62,20.65,9.15,5.97,0.37,45.86,0.1,0.6,17.75,43.5,1.3,130.5,713.25
33.75,105.5,1.65,37,20.88,8.5,6.03,0.27,48.07,0.1,0.43,17.12,39,1.5,131.5,712.5
20.33,68,1.77,37.3,21.07,7.17,5.9,0.26,46.09,0.05,0.45,16.73,36.67,1.57,109.33,711.33
22.25,70.25,1.68,36.52,20.62,7.53,5.93,0.43,47.23,0.1,0.73,17.35,34.25,1.62,79.75,710.75
16,79,1.75,35.4,20.05,8.65,6,0.32,49.3,0.1,0.5,15.85,32.5,1.45,130.5,710
19.75,86.5,1.68,35.55,20.07,8.5,5.93,0.31,43.81,0.1,0.5,17.55,32,1.53,81,710
24.75,100,1.72,31.55,18,12.18,5.93,0.6,48.95,0.1,1,16.27,32.25,1.45,77,710
23,89.25,1.78,33.38,18.95,10.38,5.65,0.41,46.62,0.07,0.7,17.35,37.25,1.6,96.5,711
26.5,90,1.58,35.33,19.92,8.6,5.97,0.33,44.57,0.1,0.53,17.85,47.5,1.9,105.5,711.5
42.75,99.75,1.72,35.62,20.18,8.18,5.83,0.27,44.84,0.07,0.43,17.92,50.25,1.48,100,712
32,73.5,1.77,34.4,19.52,8.73,5.77,0.3,43.55,0.1,0.5,18.15,51.5,1.28,100.5,713
35,70.5,1.8,32.78,18.65,9.88,5.97,0.64,41.95,0.13,1.07,18.45,57.5,1.42,105.25,713
54,75.5,1.73,33.25,18.88,9.38,5.9,0.45,46.03,0.1,0.77,18.48,64.5,1.3,108.5,713
57,77,1.8,33.4,19,9.3,5.8,0.43,37.66,0.1,0.7,17.9,67,1.4,131,713
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
42,55,1.6,33.9,19.2,8.8,5.5,0.54,26.18,0.1,0.9,19.3,74,1.2,112,712
None,None,1.7,33.9,19.2,8.8,5.3,0.22,17.36,0,0.4,18.8,76,1.2,101,711
None,None,1.75,33.55,19.05,8.95,5.9,0.19,29.28,0,0.3,18.7,77,1.4,102,712
None,None,1.83,32.42,18.48,9.85,6.33,0.07,26.47,0,0.1,18.6,78.75,1.12,102.5,712
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
79,92,1.65,25.4,14.65,15.2,6.8,0.45,27.05,0.1,0.7,18.5,76.5,1.05,211.5,713
73,96,1.45,22.05,12.85,17.95,6.8,0.4,34.78,0.1,0.7,18.25,71.5,1.4,175,713
62.25,98.75,1.65,28.08,16.1,14.23,6.6,0.38,26.99,0.1,0.63,18.95,60,1.22,212.25,713
48,95,1.6,29.2,16.7,14.8,6.3,0.55,24.03,0.1,0.9,18.4,52,1.1,127,713
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
47,101,1.65,37.45,21.1,9.5,5.95,0.67,43.7,0.15,1.1,18.2,41,1.35,165,711.5
34,106.33,1.73,37.57,21.23,8.5,5.9,0.29,44.58,0.1,0.5,17.63,30.67,1.77,90.33,710.67
19.25,80,1.7,37.52,21.12,7.88,6.3,0.18,45.28,0.05,0.3,19.27,30,1.8,103.25,710
12.5,94.5,1.75,36.75,20.75,7.6,5.9,0.38,47.36,0.1,0.6,17.25,29,1.8,82,710
14.75,109.75,1.78,36.25,20.52,7.78,6.5,0.26,44.38,0.07,0.4,16.22,31.75,1.6,90.5,709.5
16.25,103,1.7,35.15,19.9,8.55,6.7,0.23,48.42,0.07,0.37,16.68,32.25,1.52,71.5,709
16.75,105.75,1.62,33.88,19.2,9.6,6.15,0.37,45.53,0.1,0.6,17.53,33,1.55,89.5,710
28.67,110.33,1.6,33.27,18.87,9.9,6.15,0.39,48.73,0.1,0.65,17.77,37.67,1.13,89,711
33.75,99.25,1.68,32.88,18.68,10.4,5.88,0.43,43.8,0.1,0.7,17.98,40.75,1.27,93,711.75
31.33,83.33,1.73,34.07,19.33,9.03,5.8,0.3,47.14,0.1,0.5,17.9,51.67,1.1,101,712
22,68,1.7,32.8,18.6,9.3,6.2,None,42.46,None,None,17.5,58,1.4,98,713
24.67,59.33,1.63,33.23,18.83,8.8,6.1,0.23,38.22,0.05,0.4,18.4,64,1.27,102.33,712.67
28,40.25,1.63,33.8,19.15,8.2,5.9,0.3,45.11,0.1,0.47,18.6,70.25,1.53,107,712
22,35,1.7,33.5,19,8.2,5.7,0.14,32.18,0,0.2,18.1,71,1.8,120,711
12.75,26.25,1.65,33.33,18.93,8.4,5.72,0.12,43.33,0,0.23,18.38,71,1.55,122,711
10.75,23.75,1.65,32.65,18.53,8.97,5.67,0.23,40.87,0.07,0.37,18.55,72,1.42,132,711
16,41,1.75,31.25,17.85,10.05,5.8,0.3,39.78,0.1,0.5,18.75,73,1.05,142.5,711
21,56,2,22.8,13.43,16.43,5.9,0.38,42.72,0.1,0.6,18.77,73,0.97,183.67,711.33
32,79.33,1.63,20.6,12.1,17.97,5.87,0.26,35.56,0.05,0.4,18.6,73.67,1.07,175,712
46.25,85.75,1.57,21.73,12.73,17.43,5.87,0.38,40.32,0.1,0.6,18.65,72.75,1.1,211.25,712.75
47.75,78.5,1.62,15.8,9.57,22.25,5.83,0.88,42.83,0.2,1.43,18.45,69.5,1.1,244,713
50,99.25,1.67,17.82,10.7,21.35,5.83,0.85,45.48,0.2,1.4,18.75,64.5,1.27,249.75,713
38.5,101,1.5,30.35,17.25,13.4,5.8,0.51,36.8,0.1,0.8,18.55,55,1.15,220.5,713
27,90,1.65,34,19.25,11.65,5.8,0.57,48.67,0.1,0.95,18.4,51,1.25,155.5,712
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29,99,1.8,36.5,20.7,8.4,None,None,45.81,None,None,19.1,38,1.6,98,711
24.67,96,1.77,36.63,20.7,8.03,5.73,0.28,42.65,0.1,0.45,17.4,34.67,1.5,99,710.33
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
28,179,1.78,25.07,14.55,16.25,6.2,0.83,32.75,0.2,1.37,17.67,35.5,0.7,54.25,710
31,152,1.4,15.93,9.57,22.83,6.43,0.58,35,0.13,0.97,17.93,36.67,0.9,86.67,710.67
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
36,94.5,1.73,33.23,18.9,10.3,5.7,0.45,33.91,0.1,0.73,18.07,46.5,0.85,94.5,712
39.75,77.25,1.62,34.12,19.32,9.45,5.7,0.44,34.63,0.1,0.73,18.05,50.25,1.05,83.25,712
50.75,76,1.68,34.48,19.5,8.93,5.6,0.32,32.72,0.1,0.53,18.25,61,0.82,89,712
48,70.25,1.58,34.35,19.45,8.55,5.55,0.23,32.66,0.03,0.37,18.45,69.75,0.93,94.5,711.5
42,44,1.67,35.03,19.8,7.7,5.45,0.48,27.3,0.1,0.75,18.5,73.33,1.07,92.67,711
None,None,1.7,35.2,19.9,7.4,5.6,0.47,43.06,0.1,0.8,18.2,75,0.8,78,711
41.33,45.67,1.7,33.77,19.17,8.27,5.85,0.2,33.89,0,0.35,18.63,75.33,0.9,72.33,710
30.5,41.5,1.85,32.65,18.6,8.75,5.5,0.12,29.81,0,0.2,18.65,77,0.6,85,710
27,38,2,26.03,15.13,13.73,5.5,0.31,33.2,0.1,0.5,19.03,78,0.5,119.33,711
33,53,1.8,26.1,15.1,13.5,5.7,None,38.56,None,None,19.8,79,0.5,61,711
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
24.75,73,1.6,26.92,15.47,13.6,5.53,0.06,34.64,0,0.1,18.12,65.5,0.97,104.25,712
32.25,75.25,1.65,28.33,16.25,13.43,5.5,0.44,39.88,0.1,0.77,18.73,52.5,1.28,119,712
30,91,1.55,31.25,17.75,11.7,5.65,0.4,43.09,0.1,0.65,18.2,41.5,1.35,111.5,712
